epoch,speed,gForce,sats,lat,lng
1772792641000,12.1,0.24,5,-22.774969,-47.136957
1772792641200,12.6,0.39,5,-22.774961,-47.136963
1772792641400,13.3,0.22,5,-22.774953,-47.136970
1772792641600,13.9,0.71,5,-22.774944,-47.136977
1772792641800,14.6,0.59,5,-22.774936,-47.136984
1772792642000,15.2,0.37,5,-22.774928,-47.136991
1772792642200,16.0,0.56,5,-22.774919,-47.137000
1772792642400,16.7,1.01,5,-22.774910,-47.137007
1772792642600,17.4,1.39,5,-22.774900,-47.137015
1772792642800,18.0,0.59,5,-22.774890,-47.137023
1772792643000,18.7,0.30,5,-22.774880,-47.137031
1772792643200,19.2,1.32,5,-22.774871,-47.137039
1772792643400,20.0,0.25,5,-22.774861,-47.137051
1772792643600,20.8,0.48,5,-22.774850,-47.137063
1772792643800,15.6,0.04,5,-22.774839,-47.137075
1772792644000,15.5,0.67,5,-22.774827,-47.137085
1772792644200,18.8,1.33,5,-22.774817,-47.137096
1772792644400,20.9,0.83,5,-22.774810,-47.137106
1772792644600,22.2,0.80,5,-22.774806,-47.137114
1772792644800,22.6,0.46,5,-22.774804,-47.137121
1772792645000,23.1,0.64,5,-22.774797,-47.137132
1772792645200,17.3,0.08,5,-22.774787,-47.137144
1772792645400,16.7,0.67,5,-22.774779,-47.137156
1772792645600,19.9,1.28,5,-22.774775,-47.137165
1772792645800,22.2,0.72,5,-22.774766,-47.137178
1772792646000,24.2,0.82,5,-22.774754,-47.137192
1772792646200,25.8,0.44,5,-22.774742,-47.137206
1772792646400,26.9,0.28,5,-22.774733,-47.137217
1772792646600,27.8,1.35,5,-22.774721,-47.137227
1772792646800,28.7,0.21,5,-22.774707,-47.137241
1772792647000,29.6,1.14,5,-22.774694,-47.137255
1772792647200,30.3,0.32,5,-22.774680,-47.137268
1772792647400,31.2,1.00,5,-22.774666,-47.137284
1772792647600,32.1,1.06,5,-22.774650,-47.137300
1772792647800,33.1,1.18,5,-22.774634,-47.137316
1772792648000,34.2,0.84,5,-22.774617,-47.137333
1772792648200,35.1,0.94,5,-22.774602,-47.137349
1772792648400,35.8,1.12,5,-22.774587,-47.137364
1772792648600,36.6,1.16,5,-22.774570,-47.137381
1772792648800,37.2,0.21,5,-22.774553,-47.137397
1772792649000,37.8,0.70,5,-22.774536,-47.137413
1772792649200,38.6,0.46,5,-22.774517,-47.137431
1772792649400,39.2,0.53,5,-22.774501,-47.137446
1772792649600,39.7,0.10,5,-22.774484,-47.137462
1772792649800,40.3,0.87,5,-22.774467,-47.137481
1772792650000,41.0,0.22,5,-22.774448,-47.137499
1772792650200,41.7,0.30,5,-22.774428,-47.137517
1772792650400,42.4,0.30,5,-22.774408,-47.137537
1772792650600,43.2,0.54,5,-22.774388,-47.137557
1772792650800,43.9,0.88,5,-22.774369,-47.137577
1772792651000,44.6,0.38,5,-22.774349,-47.137597
1772792651200,45.2,1.31,5,-22.774330,-47.137615
1772792651400,33.9,0.08,5,-22.774311,-47.137634
1772792651600,31.2,0.33,5,-22.774292,-47.137652
1772792651800,36.7,2.37,5,-22.774273,-47.137671
1772792652000,40.4,1.58,5,-22.774254,-47.137690
1772792652200,43.0,0.18,5,-22.774234,-47.137710
1772792652400,44.7,0.53,5,-22.774215,-47.137728
1772792652600,45.9,0.54,5,-22.774196,-47.137747
1772792652800,46.7,1.08,5,-22.774176,-47.137766
1772792653000,47.4,0.79,5,-22.774157,-47.137786
1772792653200,47.9,0.83,5,-22.774137,-47.137805
1772792653400,48.3,0.29,4,-22.774118,-47.137825
1772792653800,48.3,0.51,0,-22.774100,-47.137844
1772792654000,48.3,0.58,0,-22.774100,-47.137844
1772792654200,48.4,0.64,0,-22.774100,-47.137844
1772792654400,48.4,0.65,0,-22.774100,-47.137844
1772792654600,48.4,0.43,0,-22.774100,-47.137844
1772792655000,48.3,0.61,0,-22.774100,-47.137844
1772792655400,48.3,0.57,0,-22.774100,-47.137844
1772792655800,48.3,1.12,0,-22.774100,-47.137844
1772792656000,48.8,0.66,4,-22.773881,-47.138066
1772792656200,49.1,0.13,4,-22.773862,-47.138085
1772792656400,49.4,0.42,4,-22.773844,-47.138104
1772792656600,49.6,0.92,4,-22.773825,-47.138124
1772792656800,49.7,0.33,4,-22.773807,-47.138144
1772792657000,49.9,0.70,4,-22.773788,-47.138163
1772792657200,49.9,0.64,4,-22.773770,-47.138183
1772792657400,50.0,0.92,4,-22.773751,-47.138202
1772792657600,50.1,0.66,4,-22.773732,-47.138222
1772792657800,50.1,0.36,4,-22.773715,-47.138241
1772792658000,50.2,0.85,4,-22.773696,-47.138261
1772792658200,50.2,0.40,4,-22.773677,-47.138280
1772792658400,50.2,0.56,4,-22.773660,-47.138300
1772792658600,50.0,0.74,5,-22.773643,-47.138318
1772792658800,50.0,0.69,4,-22.773626,-47.138338
1772792659000,49.8,0.86,4,-22.773609,-47.138357
1772792659200,49.9,0.91,4,-22.773588,-47.138378
1772792659400,49.9,1.08,4,-22.773570,-47.138398
1772792659600,50.0,0.88,4,-22.773549,-47.138419
1772792659800,50.1,0.93,4,-22.773531,-47.138439
1772792660000,50.1,0.29,4,-22.773512,-47.138458
1772792660200,50.3,1.07,4,-22.773490,-47.138479
1772792660400,50.4,0.50,4,-22.773471,-47.138499
1772792660600,50.6,0.77,4,-22.773451,-47.138520
1772792660800,50.6,0.57,4,-22.773433,-47.138540
1772792661000,50.5,0.61,5,-22.773418,-47.138559
1772792661200,50.3,1.07,4,-22.773403,-47.138578
1772792661400,50.1,0.41,4,-22.773388,-47.138597
1772792661600,50.0,0.66,4,-22.773368,-47.138618
